deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Tacombi - Flatiron,Tacombi,Financial District,90.9%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
Tacombi - Westbury,Tacombi,Financial District,90.9%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
Other Half Brewing - 600 5th Ave,Other Half,Gowanus,85.0%,3d7055dc-acb5-4e31-8b18-cc5f1c904e1d,55fb9cdf-aff9-4bc0-af31-c015e608ee09,Other Half Brewing,"500,000"
Other Half Brewing - 34 River Street,Other Half,Gowanus,80.5%,3d7055dc-acb5-4e31-8b18-cc5f1c904e1d,55fb9cdf-aff9-4bc0-af31-c015e608ee09,Other Half Brewing,"500,000"
Bati - New Deal,Bati,Clinton Hill,82.1%,acdd28eb-256b-4b7f-b2da-194ef241bc0d,7060eafe-9f02-4b22-bd27-7439d97e8c44,Bati,"250,000"
Padoca Bakery - New Deal,Padoca Bakery - 67,Lenox Hill,83.7%,dd8f7548-9316-4bd9-9d84-5e889accccd6,a8b2f212-bc66-4c26-80a0-d26f6a7ead08,Padoca Bakery,"500,000"
Padoca Bakery (Lenox Hill),Padoca Bakery - 67,Lenox Hill,90.0%,dd8f7548-9316-4bd9-9d84-5e889accccd6,a8b2f212-bc66-4c26-80a0-d26f6a7ead08,Padoca Bakery,"500,000"
Spicy Moon East Village,Spicy Moon,Chelsea,90.6%,6f0e2833-d311-44ad-8f46-0929d46f7996,da935a47-f1c3-4491-af5d-c23fcd3b563f,Spicy Moon,"500,000"
Spicy Moon (West Village),Spicy Moon,Chelsea,90.6%,6f0e2833-d311-44ad-8f46-0929d46f7996,da935a47-f1c3-4491-af5d-c23fcd3b563f,Spicy Moon,"500,000"
Spicy Moon - Chelsea,Spicy Moon,Chelsea,91.4%,6f0e2833-d311-44ad-8f46-0929d46f7996,da935a47-f1c3-4491-af5d-c23fcd3b563f,Spicy Moon,"500,000"
Rory's Rooftop,Rook Rooftop,RiNo,86.9%,ade810f4-30d1-43cc-9b0d-c827140264c0,0e195f5d-f3a4-4111-9b72-9525deca5707,Sage Hospitality Group,"250,000"
Tacombi - Bethesda,Tacombi,Financial District,90.9%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
Tacombi - Arlington,Tacombi,Financial District,88.3%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
Oxomoco - New Deal,Oxomoco,Greenpoint,85.9%,5d1410f3-69ed-4fbb-8b39-ba02ac3b949e,921df105-4fab-4b8c-82ba-7ef8e55db0e7,Speedy Romeo,"250,000"
Saturn Road - New Deal,Saturn Road,Cobble Hill,91.0%,20aa10a7-feac-4f5c-8c5c-fd46bc5d621b,c24cc730-2233-4931-b698-36e34ec43d27,Saturn Road,"250,000"
Tacombi - Westport,Tacombi,Financial District,90.9%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
Peasant - New Deal,Peasant,Nolita,85.9%,1f27acf7-bbb7-4855-b423-9721ff613d50,4f0b4f64-1d1e-4af3-b88f-14e93240eacb,Apres Cru,"500,000"
MOKYO - New Deal,Mokyo,East Village,87.6%,7c7e3999-754f-4f77-b2c5-86073780b52d,21fafd0a-8e9e-4b60-8c5d-b4486d7a90e8,Mokyo / Thursday Kitchen,"250,000"
Taco Boy - Summerville,Taco Boy,Downtown,87.1%,3a2fe785-392b-4dfd-ac37-b58f06693fe5,dcd6fd21-f7ef-481d-ad65-ba20ebce56d8,Taco Boy / Park & Grove,"500,000"
Sesame Burgers & Beer - Mt. Pleasant - Mt. Pleasant,Sesame Burgers and Beer,Mt. Pleasant,82.6%,2a2d5b7a-9589-4dd3-83c8-5f51dcbfb520,5da42aa8-f3cf-4f61-9962-4dbc31bb6776,Glowfisch Hospitality,"250,000"
Pastai - New Deal,Pastai,Chelsea,82.1%,8a94ebb5-5e7c-4673-baa7-4665ebe0a56a,50319939-f1e3-4bc6-b2a5-bc2e54b02831,Pastai,0
Attaboy - New Deal,Attaboy,Lower East Side,85.9%,a0764262-dbba-4a83-9d3b-7a37eda5dcb3,67829338-bc96-4832-8038-8bddb2b47ca6,Attaboy,"250,000"
Little More - New Deal,Little More,Little More,91.0%,bce9d870-a1b2-4750-80b5-050dd82dfe2f,c7ce4471-e490-493b-8c85-d2709b648ce0,Little More,"250,000"
Momoya Soho- New Deal,Momoya,SoHo,81.2%,480790b6-58b6-4782-9868-db510a127de3,6cf6a366-c460-4972-82c1-4f8e79bc17b8,Momoya,"250,000"
Mano a Mano - New Deal,Mano a Mano,Logan Square,91.0%,10b0ac38-1a01-4163-8776-1154d90ce6dd,b8d1188d-8e54-4544-9fae-252d6369e027,Eat Well Hospitality,"250,000"
Emblem - New Deal,Emblem,Williamsburg,82.1%,dd50d551-baee-4ece-b987-7ee8f443aa5e,e561f7f5-88a7-4d5b-be6a-8e5d6f5a8c89,Emblem,"250,000"
Miznon - The Hugh,Miznon,Chelsea,90.6%,8cd3c015-bb67-4639-999c-9a75e064287b,911dfde3-a6f0-461c-bc3e-5cc82ff9c0ce,The Good People Group,"250,000"
Shmone Wine Bar,Shmoné Wine,Greenwich Village,86.9%,772eeb6c-0090-45b6-bdda-e5ba2e9c44bc,911dfde3-a6f0-461c-bc3e-5cc82ff9c0ce,The Good People Group,"250,000"
Miznon Chelsea Market,Friedman's Chelsea Market,Friedmans Chelsea Market,83.9%,365f2175-2f96-4296-9ab2-47d250e2898f,fcab5650-6899-4643-912b-ac602728d0e0,Friedman's,"250,000"
Levantine - New Deal,Levantine,East Williamsburg,91.7%,f0392e8f-779d-4bfa-9af2-2a563a39c874,a69e38cb-d31c-42eb-b057-2672ea1e2b58,Levantine,"250,000"
Deccan House,Pecking House,Chinatown,82.0%,5ada383a-1811-403e-b824-eb6002a337bd,62f0bfe6-9e0e-45d7-810f-56e7914c3ca7,Pecking House,"250,000"
Postcard - New Deal,Postcard,West Village,89.0%,73b0cd74-b84e-4bbc-9252-9bd76c4a3124,f9e2e4c6-d17e-4839-931d-68ccdc14e082,Nami Nori and Postcard,"250,000"
Birdee - New Deal,Birdee,Williamsburg,82.1%,e0c81b08-1909-4ae9-8326-289c2fbacc8d,7c435f30-a2ba-4393-83ee-86aff33a72e1,Saga Hospitality Group,"250,000"
Passerine - New Deal,Passerine,Flatiron,91.7%,e4ff4096-1a94-44c7-829d-349a7b69f74d,eb2da6b9-70d1-4d35-b36d-4b1d9d84b69b,Passerine,"250,000"
Polly's Cafe Rodgers Ave - New Deal,Polly's Cafe,Crown Heights,88.3%,1a3827bb-d692-4e53-809f-426131bff5ad,3df55958-2e40-45a2-b1d3-1712c72f2a00,Polly's Cafe,"500,000"
Polly's Cafe Classon Ave - New Deal,Polly's Cafe,Crown Heights,88.3%,1a3827bb-d692-4e53-809f-426131bff5ad,3df55958-2e40-45a2-b1d3-1712c72f2a00,Polly's Cafe,"250,000"
Blind Tiger - New Deal,Blind Tiger,West Village,91.0%,0b8ba2a7-9b62-4ffc-af58-780cbcbe8423,20b47dc3-d8ec-4bd7-bb48-d529f9548e8b,Blind Tiger,"250,000"
Indigo - New Deal,Indigo,Marina,82.1%,6d54ae82-f4a0-478e-bc9f-88f78d46283e,3e08432a-dd35-4918-bd5e-0c5b1b02a225,Indigo,"500,000"
Unregular Pizza Union Square - New Deal,Unregular Pizza,Lower East Side,82.7%,8679d471-40a0-46b8-b41b-7d18c249226b,8cf91e48-faf9-4df5-9552-f46a0bd0d1cd,Unregular Pizza,"1,000,000"
Cafe Ora,Cafe Patoro,Financial District,83.7%,2c79c548-c5da-4bd9-bdf5-6dce67b8afb2,e8826aad-776b-4f6b-843a-4e79484068b4,Cafe Patoro,"200,000"
