deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Jajaja Mexicana LES,Mercantile,LoDo,58.3%,21f3a498-c3ff-4eb8-925e-19cc3d07fc93,0e195f5d-f3a4-4111-9b72-9525deca5707,Sage Hospitality Group,"250,000"
Made in New York Pizza West Village Punchcard,Nowon - East Village,East Village,44.4%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"250,000"
Made in New York Pizza UWS 271 Punchcard,La Newyorkina,Meatpacking,51.5%,12f6b968-ef3d-42bc-8a3a-365def88f167,9eaddf20-157d-40fd-a46d-e5d17aef26ee,La Newyorkina,"250,000"
Made in New York Pizza UWS 421 Punchcard,La Newyorkina,Meatpacking,51.5%,12f6b968-ef3d-42bc-8a3a-365def88f167,9eaddf20-157d-40fd-a46d-e5d17aef26ee,La Newyorkina,"250,000"
Made in New York Pizza Midtown Punchcard,La Newyorkina,Meatpacking,51.5%,12f6b968-ef3d-42bc-8a3a-365def88f167,9eaddf20-157d-40fd-a46d-e5d17aef26ee,La Newyorkina,"250,000"
Softside Soho,Softside,Soho,96.2%,58cc2959-2a9e-4951-b354-06e9b42f96e5,83195eeb-f5c9-4cca-93b7-5e7c44ef24a2,Upside,"250,000"
The Daily (Trabert Ave) Regulars,The Daily,Cannonborough,67.3%,b29fb7c4-a28f-47c3-bdda-cb9438bfc417,01ca53a2-d031-4289-b6c7-f13243eb75e3,The Daily,"250,000"
The Daily Inman Park,The Daily,Cannonborough,72.6%,b29fb7c4-a28f-47c3-bdda-cb9438bfc417,01ca53a2-d031-4289-b6c7-f13243eb75e3,The Daily,"250,000"
Cadence,Madeline's,Greenpoint,68.8%,fd3d8f7c-60ad-4b5d-ad38-e71a10434268,9c48382c-87c9-4a53-8d6b-589a7e3c2056,Madeline's,"250,000"
The Daily Buckhead,The Daily,Cannonborough,82.6%,b29fb7c4-a28f-47c3-bdda-cb9438bfc417,01ca53a2-d031-4289-b6c7-f13243eb75e3,The Daily,"250,000"
Porta Jersey City,Porter House,Columbus Circle,65.2%,ecaf6ee6-918e-4a2d-8c88-7116449e7798,f774ff15-9e88-4e16-a22b-cabdb4199168,Porter House / Center Bar,"250,000"
The Palm Court at The Plaza Hotel Midtown,The Counter at Odell's,West Highlands,47.1%,68ed6686-6b47-4644-9ab3-8a4b963fd9ae,a8de3514-97d0-4e0c-97de-782b2a3cd0d9,Odell's,"250,000"
Sra. Martinez Coral Gables,Grimm Artisanal Ales,Williamsburg,62.2%,29d7e844-ad1d-4707-a724-d566dc8ef9e2,f9124d24-ea29-4b6b-94b5-1ef6091000fc,Grimm Artisanal Ales,"1,000,000"
Mishik Hudson Square,Mishik,Hudson Square,81.2%,acd4cafb-7794-4094-8c58-04531443208c,85f68972-fb9a-4c6e-b79f-f4f0b112ad69,Mishik,"1,000,000"
Romeos East Village,Nowon - East Village,East Village,100.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
"LIMONÉ MEDITERRANEAN Paid, Punchcard",Ricco Mediterranean Restaurant,Marina,69.3%,f9c1282a-c181-4f95-bab9-8814e0876e84,29e61425-e0ab-4ed6-9bf6-362b873e5eaf,Ricco Mediterranean,"1,000,000"
Altro Paradiso,The Market at Paradiso,Park Circle,78.8%,252977ca-124b-47b4-9fa7-7d9c4f20c208,7be3c897-6406-44f2-b7dd-e40c82d3f1a1,Paradiso,"250,000"
