deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Emily Brooklyn Clinton Hill,Emily Brooklyn,Clinton Hill,100.0%,73b31ac1-054a-433a-a10d-6c6756fd1b5a,7c3412c7-8071-481f-9d46-edbf92b47b61,Emily Pizza,"500,000"
The Blue Light Pacific Heights,The Blue Light,Pacific Heights,95.6%,0c4e6db3-48a0-4ea3-9e0d-55ac60936214,b28abd69-96c1-4dc2-abbe-5d44d7685fdb,Johnny Love Group,"500,000"
Mattina Mattina,Mattina,Mattina,100.0%,0b1d6257-fa8b-485e-935c-36d6ede0a6f2,f3ca57b5-e4b9-4afd-8143-dad828d049c4,Mattina / SPQR,"500,000"
Isshiki East Village,Nowon - East Village,East Village,93.4%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Gotham Burger Social Club Lower East Side,Gotham Burger Social Club,Greenpoint,95.8%,bfa5de6d-a3f3-473d-bdac-1ef5c5169344,7a19ca0e-21c9-4246-925f-9593b96d5b72,Gotham Burger Social Club,"500,000"
Ristobar Marina,Ristobar,Marina,100.0%,71589b44-776c-4060-a986-d85733deafac,4ee3bcfa-5e01-40da-9b76-ad1ae1eae943,Ristobar / EMPORIO RULLI,"500,000"
Basic Kitchen Downtown Charleston,Basic Kitchen,Downtown Charleston,96.5%,4d716fe9-021c-4c28-8009-5884b82dc6b4,14513b97-63b2-4874-8b17-e69a089d2dfc,Basic Projects,"500,000"
Post House Mt. Pleasant,Post House,Mt. Pleasant,100.0%,4baadc40-8d69-4c1c-a7b5-12623032938f,14513b97-63b2-4874-8b17-e69a089d2dfc,Basic Projects,"500,000"
Naks East Village,Nowon - East Village,East Village,100.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Rocco's Sports & Recreation - New Deal,Rocco's Sports & Recreation,Noho,100.0%,f0b33e38-c21a-4c61-be60-bb4f65409509,3765dc1e-07e7-43a0-882c-e1776ad4e834,The Garrett Group,"500,000"
The Garret West,The Garret West,West Village,100.0%,f134527b-90cd-4a1e-af39-59ff3a109976,3765dc1e-07e7-43a0-882c-e1776ad4e834,The Garrett Group,"500,000"
Phat Thai Marina,Phat Thai,Marina,92.0%,e27412c6-e083-41d3-9aca-e2821f8e7600,3fb59169-8eac-4683-af64-0764f50d9802,Phat Thai,"500,000"
Final Final Pacific Heights,Final Final,Pacific Heights,92.9%,222ac2ab-0540-46c6-887d-ceab2c42dc70,6bffc2b4-1771-4f8b-94da-ebc8219c8f0f,Joe Wallace Group,"500,000"
Kellogg's Diner Williamsburg,Kellogg's Diner,Williamsburg,94.8%,4943d1d7-5894-4feb-ada1-4ae69ee9a9a9,179f6f85-51bb-41c9-9329-63870ab46516,Kellogg's Diner,"500,000"
Left Door Pacific Heights,Left Door,Pacific Heights,92.9%,1d296ab6-d857-4d01-9b70-52db62409ca4,6bffc2b4-1771-4f8b-94da-ebc8219c8f0f,Joe Wallace Group,"500,000"
Palette Tea House Noma,Palette Tea House,Noma,100.0%,46fffa85-8c40-43e8-b468-50310af27d77,2e599ee1-c332-4fed-9077-17d53cfb09ca,Palette Tea House,"500,000"
Sobre Masa Bushwick,Sobre Masa,Bushwick,100.0%,1a21d1a0-72fb-4d83-8591-1ffb96c748cd,25761659-c2bb-4c0b-81d1-4da857285774,Sobre Masa,"500,000"
Malika Canteen Mt. Pleasant,Malika Canteen,Mt. Pleasant,100.0%,11a14b06-7d71-4ee4-b3ff-1543ed814471,4200ac00-aaa0-40bb-bc1b-48d8de85ad9a,Ma'am Saab / Malika Canteen,"500,000"
Fossetta Fossetta,Fossetta,Lower East Side,99.0%,2706f008-38a7-406d-a464-144c6ecadaa4,ef7a56d1-6809-4982-bd39-031d1bd7bdc4,Fossetta / Cafe Colette,"500,000"
