Restaurant ID,Restaurant Name,Location Name,Restaurant Group ID,Restaurant Group Name
ea2a71bd-bd21-4721-8d53-851d6a7298eb,Bistro Vendôme,Park Hill,0c4159a8-110b-4401-a1bc-7b0e48d8f8ba,Crafted Concepts
7a717e76-34ed-4991-84f2-6797c1cb664b,Blackbird Club at Parcelle,Greenwich Village,b42470b9-18e3-45f5-8692-0b05b5e6bd98,Blackbird Club
fbfcc75a-ab86-423a-b2b0-b2d8a30dea67,Blackbird × Cowy Burger,Meatpacking,849b3ba2-af16-43cf-8966-2077c650de09,Cowy Burger
95978f59-71b5-4e70-b003-d3cd37223449,Blackbird Residency at The Standard,Meatpacking,5ac2382c-b104-466a-9ea8-4560d79ea81c,Blackbird Residency
151a3037-9727-488b-ba4e-890767bf860f,Black Seed Bagels,Battery Park City,ffd684b7-7489-4458-a608-1df787dfba96,Black Seed Bagels
151a3037-9727-488b-ba4e-890767bf860f,Black Seed Bagels,Rockefeller Center,ffd684b7-7489-4458-a608-1df787dfba96,Black Seed Bagels
24f9d9fa-aaf9-4872-807a-134bc020e9cc,Black Tap Craft Burgers & Beer,Midtown,b2ee630f-2811-4a0d-ba78-a38e467d20cc,Black Tap
24f9d9fa-aaf9-4872-807a-134bc020e9cc,Black Tap Craft Burgers & Beer,SoHo,b2ee630f-2811-4a0d-ba78-a38e467d20cc,Black Tap
d256b18e-4c7e-41e6-83e4-d345a3279a31,Blackwood,Blackwood,1cbf23a0-1718-404b-8a9d-cb972a7b187f,Blackwood
905a6d08-db56-41f9-a49a-5c445ab0c10a,BlindPig,Tenderloin,865608b3-5ebf-4afd-a86d-c12bd9304b18,Blind Pig
0b8ba2a7-9b62-4ffc-af58-780cbcbe8423,Blind Tiger,West Village,20b47dc3-d8ec-4bd7-bb48-d529f9548e8b,Blind Tiger
9880d849-3db3-4de4-9c43-a8147d10a089,Blinky's,Williamsburg,b609e5f3-1cd6-4a42-b615-1a468cb18205,Blinky's
33e3e1ce-1863-47fe-a15b-533c6760277f,BLT Prime,Upper East Side,d01f8c4b-d24e-4188-aeaa-1a65d2b7d2a6,BLT Prime
25e910c6-5fef-42eb-b430-28f2c76690a5,Blue Plate,Mission,82465abf-6cba-4303-ba5e-e530a518f553,Blue Plate
2cf2b124-c9a2-42e4-ae93-453c94d9f908,Blue Whale,Marina,da0504c6-1488-4f24-bb2a-c1d521760eaa,Blue Whale
ec929ec7-8d34-45ca-8fc3-e51a74058f35,Boa's CVC,Outer Richmond,06502a1b-4d69-4f06-8f8b-e5c39090c5d7,Fable & Boas
5451c3a9-73f7-4293-b740-2f7f3a2c8f10,Bobbi's Italian Beef,Cobble Hill,69f615d3-252e-44b4-bbb4-81e3ed697279,Bobbi's Italian Beef
7be8b074-29da-4bda-abae-85d446802664,Bodega (Coffee Counter),Downtown,e7ac75ad-c53f-460a-9592-738a1ee99ea4,Uptown Hospitality Group
7be8b074-29da-4bda-abae-85d446802664,Bodega (Coffee Counter),Mt. Pleasant,e7ac75ad-c53f-460a-9592-738a1ee99ea4,Uptown Hospitality Group
4efb6b25-e0f0-417e-ac25-2deab254ef48,Bodega (Dine In),Downtown Charleston,e7ac75ad-c53f-460a-9592-738a1ee99ea4,Uptown Hospitality Group
f40f1e73-5b12-48e3-8bc3-19de5163f336,Bodega SF,Bodega SF,1af70182-6533-4d30-b195-0b0de5c0c0b0,Bodega Restaurants
cc1e4e53-77f1-42e7-a921-956cbaf22969,Bon Banh Mi,Downtown,3cbd96ee-1361-45b3-a1ac-b9614534385d,Bon Banh Mi
cc1e4e53-77f1-42e7-a921-956cbaf22969,Bon Banh Mi,Mt. Pleasant,3cbd96ee-1361-45b3-a1ac-b9614534385d,Bon Banh Mi
cc1e4e53-77f1-42e7-a921-956cbaf22969,Bon Banh Mi,South Mt. Pleasant,3cbd96ee-1361-45b3-a1ac-b9614534385d,Bon Banh Mi
0ffad0d1-02e4-41b9-ae63-084b64dbb058,Bonnie's,Williamsburg,f12240ce-ab06-46a2-ab1c-38b545c75b22,Bonnie's
edf435c6-d44c-47f7-b152-8b65fb4437a3,Bosque,Hayes Valley,9f5003cf-60a7-481c-92bc-776bf1113a44,Bosque
a84663ba-094d-440f-96b4-919c99a45cdd,Bottino,Chelsea,56cfb28e-7700-4fd2-bc9b-ae46233359d9,Bottino
1231c78d-abf4-41af-bfa5-3f771688f522,Brass,NoMad,4a0e264d-bc32-4718-8053-ac0a183defb0,Brass / Moby's
3394b38d-706b-46b5-a255-8fd9d7932420,Breeze,Greenpoint,3d2f209c-e855-4bd6-b880-a3b3a0b53bcf,Breeze
ea5e6c30-05d4-45bf-916f-fc94081b1f14,Brenda's French Soul Food,Tenderloin,ce581429-728c-4c77-a94f-73dd079d1ca9,Brenda and the Krewe
965cceca-4a6f-477b-82f8-3dd816e75f3b,Brenda's Meat & Three,NOPA,ce581429-728c-4c77-a94f-73dd079d1ca9,Brenda and the Krewe
301f84dc-4faf-45a9-a406-a894f9f39777,Bricklane Curry House,East Village,a707cfd6-d403-41e0-9a81-d03356a71601,Bricklane Curry House
db4a0287-fcc3-4d19-8cc3-547475a7d715,Briscola,Crown Heights,64ce2401-7a33-4400-8cad-683078ad24fc,LaRina
94baead0-d295-42c5-8ad9-26d345909160,Brooklyn Brewery,Williamsburg,facaeef8-3bb3-47c2-a6df-f20f0239dac4,Brooklyn Brewery
4eaceb8c-99ed-4407-a908-5221c51625c4,Brooklyn French Bakers,Carroll Gardens,36bbcbcd-ebcb-4ee7-abaa-3690540e94e6,Brooklyn French Bakers
4eaceb8c-99ed-4407-a908-5221c51625c4,Brooklyn French Bakers,Park Slope,36bbcbcd-ebcb-4ee7-abaa-3690540e94e6,Brooklyn French Bakers
196a8ced-de66-485c-8d4e-6bb29b43503d,Brooklyn Kava,Bushwick,e2083fe4-8f3c-4af5-ac67-31f67281b3c2,Brooklyn Kava
83ed4391-bbea-4afc-a0bd-09d65d13c405,Brooklyn Kolache,Bedford-Stuyvesant,69da47fa-64bf-408b-abe9-0a0902a9fc1f,Brooklyn Kolache
98fe30fa-14bd-48ab-a30f-17f853329004,Burgerhead,Greenwich Village,ea058449-28e2-48e4-a1a2-2c0f64c5af76,Burgerhead
1ae8ba6a-b429-4aa7-b61a-d08a1cd8c905,Burgers and Beer,West Village,ea2589e9-797b-4391-afda-95200fafb492,Tio Pepe
1899ddcc-e51f-42a1-a2ed-baf946cafef3,Bushwick Bakery,Bushwick,95823173-65c9-431f-be5b-cfdac4d1353a,Bushwick Bakery
bb33b5f8-bdda-4ab8-b061-40b3c69b0eb3,Bus Stop,Pacific Heights,6bffc2b4-1771-4f8b-94da-ebc8219c8f0f,Joe Wallace Group
e7a05cd6-576c-4beb-b600-b9697acaaa07,Butcher's Daughter,Nolita,9cbb2dd6-d26c-4e96-8e9d-d9da7f08b6c0,Butcher's Daughter
e7a05cd6-576c-4beb-b600-b9697acaaa07,Butcher's Daughter,Williamsburg,9cbb2dd6-d26c-4e96-8e9d-d9da7f08b6c0,Butcher's Daughter
309e8a93-25e1-4572-8abe-b267d7b1df0c,Cafe Blackbird at FarCon,FarCon,ce948a32-174b-45f5-8565-e9f01769496f,Marketing
78579bcd-c6fb-4d9a-8f20-2e88433aa8d3,Cafe Boulud,Upper East Side,36e7ed88-dd55-4088-82ac-b77f241f710a,Dinex Group
8c0809e3-0d1f-41ea-acbe-88b250ca1ab5,Cafe Colette,Williamsburg,7da399fe-6a82-4a09-8398-1524a8d255ba,Cafe Colette
f5fa4d03-18a1-4cd6-a6aa-cd3e07aae162,Cafe Mado,Prospect Heights,852a5364-150b-40d4-89f4-0fe1c42077d9,Redwood Hospitality
56d97f29-055a-480a-a857-d7de9932cb40,Cafe Ornithology,Bushwick,3070361d-5bd6-42b0-a3cc-d3026babbbd3,Cafe Ornithology
2c79c548-c5da-4bd9-bdf5-6dce67b8afb2,Cafe Patoro,Financial District,e8826aad-776b-4f6b-843a-4e79484068b4,Cafe Patoro
400dccf7-0917-43c7-8750-20fda21ba3e1,Caffe Sport,North Beach,38ded44c-08a2-4c81-92aa-0ceeb2998ee8,Caffe Sport Group
2e4dd69e-a207-49dd-a637-1eab8cf6ea13,Caledonia Bar,Upper East Side,99c7df4c-8557-427b-884a-858d09926c05,Caledonia Bar
9b1d16fa-0b2d-4197-a306-583e3405f7ab,California Kahve,California Kahve,b91064e5-81c0-4ffb-a745-8ae194807f99,California Khave
6df52367-8a0c-434d-bd9a-ff4fba66ff12,Call Me Pearl,LoDo,0e195f5d-f3a4-4111-9b72-9525deca5707,Sage Hospitality Group
46572411-97dd-4b7e-8069-7af0aadb9310,Camino Alto,Marina,9302b5c9-4edd-42ff-b2d0-8ffd88f9eb47,Camino Alto
2b3a5a2b-378d-481a-8303-c20db3c82163,Canal Street Market,Soho,c19bbcbf-dd46-4c2f-93ad-cc202468cf03,Canal Street Market
9749b36b-0332-49e1-a0ac-a574868c09d2,Cane Pazzo,Hanahan,92b5d248-b045-40c2-81c7-982e6ab3a389,Cane Pazzo
e637971f-536b-47a5-91ba-cddad208e73c,Carissa's Bakery,Amagansett,ac4e7347-43e8-4b9a-b67d-2f00844b0369,Carissa's
e637971f-536b-47a5-91ba-cddad208e73c,Carissa's Bakery,East Hampton,ac4e7347-43e8-4b9a-b67d-2f00844b0369,Carissa's
e637971f-536b-47a5-91ba-cddad208e73c,Carissa's Bakery,Sag Harbor,ac4e7347-43e8-4b9a-b67d-2f00844b0369,Carissa's
796a1658-19b8-4bc5-a06f-20ed9310f0b9,Carlotto,Union Square,69d05307-fbb4-4053-9e60-26903c34bbac,Toptable Group
f0a1a4e2-605c-41f6-8f23-909cc77bba5f,Carmine Street Beers,West Village,4c87536c-7a01-4b05-9f44-0478c8b14c37,Carmine Street Beers
7a71b2d7-56e5-45db-839b-62c7fbfdd117,Carne,RiNo,6d9c2232-b436-4e58-a229-c695d4d607c9,SuperLoca
8b87afbe-497b-4176-8215-3945ba1b3fdc,Carriage House,West Village,3a6bf638-7b60-4a24-a903-cd2798ad2590,Carriage House
3c19d9b7-81d9-4436-95af-b2d5d08b9917,Carta,West Village,0561d863-369f-4e83-ae9d-461f51823c68,Carta
7799acb4-64bb-4f21-9918-13fb8cb37ed2,Cart Driver,LoHi,6e61f646-d0a1-4bf5-a199-cefe21897f3f,Cart Driver
8a69da80-1dd2-4a86-bbd4-aa1a9b72b06e,Casa 13urger,Bowery,02f73010-57fd-46f2-be94-6fd248e4a571,Casa Thirteen
9f41ee50-0f7d-45ca-81ae-f086135daa74,Casa Thirteen,Bowery,02f73010-57fd-46f2-be94-6fd248e4a571,Casa Thirteen
b8c0b5a1-7e3f-47ec-b3e1-9eaf1c2245aa,Castro Indian Restaurant & Bar,The Castro,a71f3435-b387-43de-b254-720a690b2216,Castro Indian Restaurant & Bar
b20c5408-f6d9-4029-bbd6-3672f3a49b72,Catbird Kitchen,3770 Walnut St,0e195f5d-f3a4-4111-9b72-9525deca5707,Sage Hospitality Group
